Country,State,Year,Gender,Type Of Classes,"Gross Enrolment Ratio (Ger) (UOM:Ratio), Scaling Factor:1"
India,Goa,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),17643.6
India,Goa,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),16264.6
India,Goa,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),5908.7
India,Goa,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),10131.7
India,Goa,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),14027.4
India,Goa,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),12190.5
India,Goa,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),11808
India,Goa,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),12120.5
India,Goa,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),8813.5
India,Goa,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),10435.7
India,Goa,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),11677
India,Goa,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),13942.5
India,Goa,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),14195.8
India,Goa,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),13985.7
India,Goa,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),7091.4
India,Goa,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),10280.5
India,Goa,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),12792.9
India,Gujarat,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),108.8
India,Gujarat,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),52.5
India,Gujarat,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),98.1
India,Gujarat,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),33.2
India,Gujarat,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),43.5
India,Gujarat,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),88.8
India,Gujarat,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),109.4
India,Gujarat,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),51.9
India,Gujarat,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),98.5
India,Gujarat,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),29.5
India,Gujarat,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),41.4
India,Gujarat,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),88.7
India,Gujarat,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),109.1
India,Gujarat,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),52.2
India,Gujarat,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),98.3
India,Gujarat,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),31.4
India,Gujarat,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),42.5
India,Gujarat,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),88.7
India,Haryana,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),
India,Haryana,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),
India,Haryana,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),
India,Haryana,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),
India,Haryana,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),
India,Haryana,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),
India,Haryana,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),
India,Haryana,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),
India,Haryana,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),
India,Haryana,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),
India,Haryana,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),
India,Haryana,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),
India,Haryana,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),
India,Haryana,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),
India,Haryana,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),
India,Haryana,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),
India,Haryana,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),
India,Haryana,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),
