state,year,hh_self_employed_agriculture_pct,hh_self_employed_non_agriculture_pct,hh_regular_wage_salary_pct,hh_casual_labour_agriculture_pct,hh_casual_labour_non_agriculture_pct,hh_others_pct,estimated_households,sample_households
Himachal Pradesh,2018,34.6,14.4,23.6,1.5,13.6,12.3,14628.0,1659.0
Jammu and Kashmir,2018,19.6,26.4,31.7,0.7,17.2,4.5,16671.292981441307,1859.9959687426567
Jharkhand,2018,42.5,12.7,9.4,1.2,20.5,13.6,52548.0,1664.0
Karnataka,2018,36.6,14.7,13.0,18.5,9.0,8.3,82341.0,1792.0
Kerala,2018,14.1,18.8,19.9,8.9,18.2,20.1,44831.0,2112.0
Ladakh,2018,19.6,26.4,31.7,0.7,17.2,4.5,322.70701855869333,36.004031257342746
Lakshadweep,2018,0.0,0.2,39.9,9.5,28.3,22.2,25.0,48.0
Madhya Pradesh,2018,47.9,8.0,8.4,16.1,14.5,5.2,111471.0,2671.0
Maharashtra,2018,39.3,11.3,13.7,21.2,6.6,7.8,135538.0,3582.0
Manipur,2018,33.1,24.1,27.4,1.0,5.7,8.7,4000.0,1280.0
Meghalaya,2018,40.5,12.2,20.9,3.1,18.7,4.5,5125.0,828.0
Mizoram,2018,53.8,20.1,19.0,1.6,2.1,3.4,1057.0,512.0
Nagaland,2018,34.3,19.6,36.4,0.4,0.9,8.3,2985.0,576.0
Odisha,2018,34.3,16.6,10.1,5.6,18.4,15.0,81692.0,2869.0
Puducherry,2018,9.9,8.9,49.5,4.2,17.9,9.6,1066.0,128.0
Punjab,2018,20.6,17.0,20.5,10.7,17.1,14.1,35228.0,1535.0
Rajasthan,2018,48.5,14.3,12.7,2.7,12.8,8.9,101589.0,2496.0
Sikkim,2018,40.8,16.9,31.8,0.3,5.3,4.9,1103.0,440.0
Tamil Nadu,2018,19.7,11.9,22.0,14.1,17.7,14.5,102605.0,3136.0
Telangana,2018,37.7,13.7,10.5,18.3,6.2,13.6,52047.0,1280.0
Dadra and Nagar Haveli and Daman and Diu,2018,1.95,24.7,64.15,0.8,3.0,5.4,519.0,120.0
Tripura,2018,24.3,31.3,17.4,6.9,12.7,7.3,6918.0,1215.0
Uttar Pradesh,2018,49.1,12.7,7.3,5.9,14.3,10.9,279553.0,5822.0
Uttarakhand,2018,33.1,21.2,19.6,3.4,9.0,13.7,15220.0,959.0
West Bengal,2018,25.3,19.2,12.7,18.9,16.1,7.8,150877.0,3392.0
Andaman and Nicobar Islands,2017,20.0,10.1,45.6,2.4,13.5,8.4,575.0,240.0
Andhra Pradesh,2017,25.3,13.7,11.2,25.0,10.6,14.3,93607.0,2176.0
Arunachal Pradesh,2017,50.3,18.7,26.2,0.5,3.1,1.3,2221.0,1070.0
Assam,2017,36.9,22.2,19.2,6.3,12.0,3.4,55585.0,2624.0
Bihar,2017,35.2,17.1,9.5,10.6,15.5,12.2,179694.0,3200.0
Chandigarh,2017,0.5,18.7,67.1,0.0,10.1,3.7,95.0,64.0
Chhattisgarh,2017,58.2,7.1,11.1,9.4,9.1,5.1,44606.0,1408.0
Delhi,2017,24.0,13.8,47.0,0.6,11.3,3.2,972.0,64.0
Goa,2017,6.2,14.1,51.2,3.5,9.8,15.2,1248.0,192.0
Gujarat,2017,49.6,11.9,14.0,13.5,5.1,5.8,65807.0,1664.0
Haryana,2017,28.3,18.8,25.8,7.0,14.0,6.1,33381.0,1344.0
Himachal Pradesh,2017,34.4,11.7,21.0,2.1,16.2,14.6,14845.0,1656.0
Jammu and Kashmir,2017,24.0,22.8,27.2,2.5,18.4,5.2,16416.230243111615,1875.692137255253
Jharkhand,2017,44.4,13.7,8.0,2.1,18.5,13.3,50564.0,1664.0
Karnataka,2017,40.8,11.4,13.8,18.5,6.6,8.8,83124.0,1792.0
Kerala,2017,12.6,19.8,21.5,8.1,17.2,20.8,43099.0,2112.0
Ladakh,2017,24.0,22.8,27.2,2.5,18.4,5.2,317.7697568883827,36.30786274474648
Lakshadweep,2017,8.4,13.8,45.7,0.4,26.7,4.9,32.0,48.0
Madhya Pradesh,2017,51.7,6.8,8.9,15.6,13.2,3.7,109855.0,2680.0
Maharashtra,2017,41.6,9.4,13.3,21.8,4.8,9.0,129185.0,3576.0
Manipur,2017,43.5,23.9,19.1,2.2,6.7,4.5,3643.0,1280.0
Meghalaya,2017,51.9,14.1,15.2,0.4,12.5,5.9,5026.0,832.0
Mizoram,2017,61.9,15.9,16.2,0.6,2.3,3.1,1108.0,512.0
Nagaland,2017,37.8,12.4,46.8,0.1,0.2,2.7,2788.0,576.0
Odisha,2017,38.5,14.1,10.2,7.4,15.6,14.2,82201.0,2880.0
Puducherry,2017,5.9,15.0,19.4,6.4,29.8,23.5,1074.0,128.0
Punjab,2017,26.6,18.6,19.9,9.0,14.8,11.1,33250.0,1536.0
Rajasthan,2017,45.7,15.1,14.3,3.3,14.3,7.3,98045.0,2496.0
Sikkim,2017,45.0,16.0,29.5,0.7,2.6,6.2,1031.0,448.0
Tamil Nadu,2017,16.0,13.7,21.1,17.2,19.1,13.0,97798.0,3136.0
Telangana,2017,38.8,11.3,10.6,16.9,8.0,14.5,53982.0,1280.0
Dadra and Nagar Haveli and Daman and Diu,2017,4.3,12.7,70.6,1.4,2.65,8.25,559.0,128.0
Tripura,2017,25.8,26.7,18.1,4.4,16.0,9.0,6284.0,1216.0
Uttar Pradesh,2017,47.4,13.5,7.3,6.8,14.7,10.4,284395.0,5824.0
Uttarakhand,2017,40.5,16.4,20.3,2.5,5.9,14.3,14671.0,958.0
West Bengal,2017,24.9,20.5,12.0,18.6,14.5,9.6,151939.0,3392.0
