state,year,gender,gender_key,class_group,class_group_key,ger_ratio
Himachal Pradesh,2013,Total,total,Classes I-XII (6-17 Years),classes_i_xii,138.9
Jammu and Kashmir,2013,Boys,boys,Classes I-VIII (6-13 Years),classes_i_viii,82.8
Jammu and Kashmir,2013,Boys,boys,Classes IX-X (14-15 Years),classes_ix_x,36.0
Jammu and Kashmir,2013,Boys,boys,Classes I-X (6-15 Years),classes_i_x,73.8
Jammu and Kashmir,2013,Boys,boys,Classes XI-XII (16-17  Years),classes_xi_xii,24.7
Jammu and Kashmir,2013,Boys,boys,Classes IX-XII (14-17  Years),classes_ix_xii,30.6
Jammu and Kashmir,2013,Boys,boys,Classes I-XII (6-17 Years),classes_i_xii,66.3
Jammu and Kashmir,2013,Girls,girls,Classes I-VIII (6-13 Years),classes_i_viii,78.0
Jammu and Kashmir,2013,Girls,girls,Classes IX-X (14-15 Years),classes_ix_x,26.7
Jammu and Kashmir,2013,Girls,girls,Classes I-X (6-15 Years),classes_i_x,68.4
Jammu and Kashmir,2013,Girls,girls,Classes XI-XII (16-17  Years),classes_xi_xii,18.1
Jammu and Kashmir,2013,Girls,girls,Classes IX-XII (14-17  Years),classes_ix_xii,22.5
Jammu and Kashmir,2013,Girls,girls,Classes I-XII (6-17 Years),classes_i_xii,60.9
Jammu and Kashmir,2013,Total,total,Classes I-VIII (6-13 Years),classes_i_viii,80.6
Jammu and Kashmir,2013,Total,total,Classes IX-X (14-15 Years),classes_ix_x,31.7
Jammu and Kashmir,2013,Total,total,Classes I-X (6-15 Years),classes_i_x,71.2
Jammu and Kashmir,2013,Total,total,Classes XI-XII (16-17  Years),classes_xi_xii,21.7
Jammu and Kashmir,2013,Total,total,Classes IX-XII (14-17  Years),classes_ix_xii,26.9
Jammu and Kashmir,2013,Total,total,Classes I-XII (6-17 Years),classes_i_xii,63.8
Jharkhand,2013,Boys,boys,Classes I-VIII (6-13 Years),classes_i_viii,134.1
Jharkhand,2013,Boys,boys,Classes IX-X (14-15 Years),classes_ix_x,42.7
Jharkhand,2013,Boys,boys,Classes I-X (6-15 Years),classes_i_x,115.5
Jharkhand,2013,Boys,boys,Classes XI-XII (16-17  Years),classes_xi_xii,11.1
Jharkhand,2013,Boys,boys,Classes IX-XII (14-17  Years),classes_ix_xii,27.6
Jharkhand,2013,Boys,boys,Classes I-XII (6-17 Years),classes_i_xii,99.0
Jharkhand,2013,Girls,girls,Classes I-VIII (6-13 Years),classes_i_viii,131.6
Jharkhand,2013,Girls,girls,Classes IX-X (14-15 Years),classes_ix_x,39.0
Jharkhand,2013,Girls,girls,Classes I-X (6-15 Years),classes_i_x,112.4
Jharkhand,2013,Girls,girls,Classes XI-XII (16-17  Years),classes_xi_xii,9.1
Jharkhand,2013,Girls,girls,Classes IX-XII (14-17  Years),classes_ix_xii,24.5
Jharkhand,2013,Girls,girls,Classes I-XII (6-17 Years),classes_i_xii,95.5
Jharkhand,2013,Total,total,Classes I-VIII (6-13 Years),classes_i_viii,132.8
Jharkhand,2013,Total,total,Classes IX-X (14-15 Years),classes_ix_x,40.9
Jharkhand,2013,Total,total,Classes I-X (6-15 Years),classes_i_x,114.0
Jharkhand,2013,Total,total,Classes XI-XII (16-17  Years),classes_xi_xii,10.1
Jharkhand,2013,Total,total,Classes IX-XII (14-17  Years),classes_ix_xii,26.0
Jharkhand,2013,Total,total,Classes I-XII (6-17 Years),classes_i_xii,97.3
Karnataka,2013,Boys,boys,Classes I-VIII (6-13 Years),classes_i_viii,106.7
Karnataka,2013,Boys,boys,Classes IX-X (14-15 Years),classes_ix_x,73.3
Karnataka,2013,Boys,boys,Classes I-X (6-15 Years),classes_i_x,99.9
Karnataka,2013,Boys,boys,Classes XI-XII (16-17  Years),classes_xi_xii,38.9
Karnataka,2013,Boys,boys,Classes IX-XII (14-17  Years),classes_ix_xii,56.6
Karnataka,2013,Boys,boys,Classes I-XII (6-17 Years),classes_i_xii,90.1
Karnataka,2013,Girls,girls,Classes I-VIII (6-13 Years),classes_i_viii,103.1
Karnataka,2013,Girls,girls,Classes IX-X (14-15 Years),classes_ix_x,72.2
