state,year,gender,gender_key,employment_indicator,employment_indicator_key,employment_indicator_value_per_1000
Himachal Pradesh,2013,Male,male,Worker population ratio (WPR),wpr,593.0
Jammu and Kashmir,2013,Male,male,Labour force participation rate (LFPR),lfpr,562.0
Jammu and Kashmir,2013,Male,male,Proportion Unemployed (PU),pu,1.0
Jammu and Kashmir,2013,Male,male,Worker population ratio (WPR),wpr,561.0
Jharkhand,2013,Male,male,Labour force participation rate (LFPR),lfpr,540.0
Jharkhand,2013,Male,male,Proportion Unemployed (PU),pu,33.0
Jharkhand,2013,Male,male,Worker population ratio (WPR),wpr,507.0
Karnataka,2013,Male,male,Labour force participation rate (LFPR),lfpr,594.0
Karnataka,2013,Male,male,Proportion Unemployed (PU),pu,0.0
Karnataka,2013,Male,male,Worker population ratio (WPR),wpr,594.0
Kerala,2013,Male,male,Labour force participation rate (LFPR),lfpr,501.0
Kerala,2013,Male,male,Proportion Unemployed (PU),pu,0.0
Kerala,2013,Male,male,Worker population ratio (WPR),wpr,501.0
Lakshadweep,2013,Male,male,Labour force participation rate (LFPR),lfpr,577.0
Lakshadweep,2013,Male,male,Proportion Unemployed (PU),pu,33.0
Lakshadweep,2013,Male,male,Worker population ratio (WPR),wpr,543.0
Madhya Pradesh,2013,Male,male,Labour force participation rate (LFPR),lfpr,577.0
Madhya Pradesh,2013,Male,male,Proportion Unemployed (PU),pu,8.0
Madhya Pradesh,2013,Male,male,Worker population ratio (WPR),wpr,569.0
Maharashtra,2013,Male,male,Labour force participation rate (LFPR),lfpr,561.0
Maharashtra,2013,Male,male,Proportion Unemployed (PU),pu,5.0
Maharashtra,2013,Male,male,Worker population ratio (WPR),wpr,555.0
Manipur,2013,Male,male,Labour force participation rate (LFPR),lfpr,540.0
Manipur,2013,Male,male,Proportion Unemployed (PU),pu,14.0
Manipur,2013,Male,male,Worker population ratio (WPR),wpr,526.0
Meghalaya,2013,Male,male,Labour force participation rate (LFPR),lfpr,572.0
