sample,education_variable,outcome_variable,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r
high_st_states,Literacy gap,Unemployment,18,-0.49,0.039,-0.5754,0.0125,0.49
high_st_states,Literacy gap,LFPR,18,0.4853,0.0412,0.436,0.0705,0.4853
high_st_states,Literacy gap,Female WPR,18,0.4848,0.0414,0.5362,0.0218,0.4848
high_st_states,Female literacy gap,Unemployment,18,-0.4803,0.0437,-0.5264,0.0248,0.4803
high_st_states,Primary dropout,Urban ST BPL,9,-0.4798,0.1912,-0.5667,0.1116,0.4798
high_st_states,Primary female enrolment share,Urban ST BPL,9,0.4793,0.1918,0.3833,0.3085,0.4793
high_st_states,ST literacy rate,WPR,18,-0.4766,0.0455,-0.3463,0.1593,0.4766
high_st_states,Female ST literacy,MGNREG unmet demand,19,-0.4763,0.0393,-0.4263,0.0687,0.4763
high_st_states,Upper-primary dropout,Urban ST BPL,9,0.4739,0.1975,0.7667,0.0159,0.4739
high_st_states,Primary dropout,Mean ST BPL,9,-0.4714,0.2002,-0.5333,0.1392,0.4714
high_st_states,Female ST literacy,Female WPR,18,-0.4623,0.0534,-0.475,0.0464,0.4623
high_st_states,Literacy gap,Female LFPR,18,0.4525,0.0594,0.5127,0.0296,0.4525
high_st_states,Primary female enrolment share,Mean ST BPL,9,0.4498,0.2245,0.35,0.3558,0.4498
high_st_states,ST literacy rate,Female LFPR,18,-0.4448,0.0644,-0.4281,0.0763,0.4448
high_st_states,Female ST literacy,WPR,18,-0.441,0.067,-0.3077,0.2142,0.441
high_st_states,Primary dropout,Rural ST BPL,9,-0.4299,0.2482,-0.4833,0.1875,0.4299
high_st_states,GER classes I-VIII,MGNREG average days worked,18,0.4267,0.0774,0.3988,0.1012,0.4267
high_st_states,Literacy gap,Female unemployment,18,-0.4255,0.0783,-0.7149,0.0009,0.4255
high_st_states,ST literacy rate,MGNREG average days worked,18,0.4089,0.092,0.4452,0.0641,0.4089
high_st_states,Female ST literacy,Female LFPR,18,-0.4041,0.0963,-0.4349,0.0713,0.4041
high_st_states,Secondary dropout,Female WPR,18,0.3947,0.1051,0.5338,0.0225,0.3947
high_st_states,Primary female enrolment share,Rural ST BPL,9,0.3945,0.2934,0.2333,0.5457,0.3945
high_st_states,Primary dropout,MGNREG average days worked,19,0.3936,0.0954,0.3542,0.1368,0.3936
high_st_states,ST literacy rate,LFPR,18,-0.3873,0.1123,-0.2735,0.2721,0.3873
high_st_states,Primary female enrolment share,MGNREG unmet demand,19,0.3859,0.1027,0.4,0.0897,0.3859
high_st_states,Upper-primary dropout,Mean ST BPL,9,0.3831,0.3088,0.5667,0.1116,0.3831
high_st_states,Female ST literacy,MGNREG average days worked,19,0.3819,0.1066,0.4399,0.0595,0.3819
high_st_states,Upper-primary dropout,MGNREG unmet demand,19,0.3784,0.1102,0.4552,0.0502,0.3784
high_st_states,Secondary dropout,Female LFPR,18,0.3765,0.1236,0.5424,0.0201,0.3765
high_st_states,GER classes IX-XII,Rural ST BPL,9,0.364,0.3355,0.3333,0.3807,0.364
high_st_states,GER classes IX-XII,Mean ST BPL,9,0.354,0.35,0.3333,0.3807,0.354
high_st_states,Upper-primary female enrolment share,Urban ST BPL,9,0.3531,0.3513,0.3,0.4328,0.3531
high_st_states,Upper-primary dropout,Unemployment,18,-0.3492,0.1555,-0.4004,0.0996,0.3492
high_st_states,Female ST literacy,LFPR,18,-0.3453,0.1605,-0.249,0.3191,0.3453
high_st_states,Primary female enrolment share,Female LFPR,18,-0.3427,0.1639,-0.218,0.3849,0.3427
high_st_states,Upper-primary dropout,MGNREG job-card households,19,0.3416,0.1524,0.3726,0.1162,0.3416
high_st_states,Upper-primary female enrolment share,Unemployment,18,0.3408,0.1663,0.4798,0.0439,0.3408
high_st_states,Primary female enrolment share,Female WPR,18,-0.3392,0.1684,-0.2354,0.347,0.3392
high_st_states,Female literacy gap,MGNREG unmet demand,19,0.3373,0.1578,0.3526,0.1387,0.3373
high_st_states,GER classes I-VIII,Female unemployment,17,-0.3321,0.1928,-0.0837,0.7493,0.3321
high_st_states,Literacy gap,Mean ST BPL,9,0.3275,0.3896,0.4268,0.252,0.3275
high_st_states,Female literacy gap,MGNREG average days worked,19,-0.3262,0.1729,-0.4355,0.0624,0.3262
high_st_states,Primary dropout,MGNREG job-card households,19,0.325,0.1746,0.3982,0.0913,0.325
high_st_states,Upper-primary female enrolment share,Mean ST BPL,9,0.3244,0.3944,0.2,0.6059,0.3244
high_st_states,Literacy gap,Rural ST BPL,9,0.32,0.4012,0.5272,0.1447,0.32
high_st_states,Secondary dropout,Unemployment,18,-0.3165,0.2007,-0.4095,0.0915,0.3165
high_st_states,Female literacy gap,Female WPR,18,0.3054,0.2178,0.4068,0.0938,0.3054
high_st_states,Literacy gap,Urban ST BPL,9,0.3042,0.4262,0.3766,0.3178,0.3042
high_st_states,GER classes IX-XII,Urban ST BPL,9,0.304,0.4265,0.2667,0.4879,0.304
high_st_states,Upper-primary female enrolment share,Female WPR,18,-0.3036,0.2207,-0.4357,0.0707,0.3036
high_st_states,GER classes IX-XII,MGNREG job-card households,18,-0.3015,0.2241,-0.1342,0.5954,0.3015
high_st_states,GER classes IX-XII,MGNREG average days worked,18,0.2958,0.2334,0.4036,0.0967,0.2958
high_st_states,Secondary dropout,Female unemployment,18,-0.2932,0.2377,-0.3259,0.1869,0.2932
high_st_states,Upper-primary female enrolment share,Female LFPR,18,-0.29,0.243,-0.4236,0.0799,0.29
high_st_states,Upper-primary dropout,Rural ST BPL,9,0.288,0.4523,0.3667,0.3317,0.288
high_st_states,Secondary dropout,MGNREG average days worked,19,-0.2808,0.2442,-0.4276,0.0678,0.2808
high_st_states,Female literacy gap,WPR,18,0.2807,0.2592,0.221,0.3783,0.2807
high_st_states,Upper-primary female enrolment share,Rural ST BPL,9,0.2791,0.4671,0.05,0.8984,0.2791
high_st_states,Female literacy gap,Female LFPR,18,0.2529,0.3113,0.3874,0.1122,0.2529
high_st_states,Primary dropout,LFPR,18,-0.2436,0.3299,-0.2244,0.3707,0.2436
high_st_states,Primary female enrolment share,MGNREG job-card households,19,-0.2424,0.3173,-0.0947,0.6997,0.2424
high_st_states,Primary female enrolment share,Unemployment,18,0.2394,0.3388,0.2616,0.2943,0.2394
high_st_states,Upper-primary female enrolment share,WPR,18,-0.2373,0.343,-0.2189,0.3828,0.2373
high_st_states,Primary female enrolment share,WPR,18,-0.2228,0.3742,-0.0134,0.9578,0.2228
high_st_states,GER classes I-VIII,Female LFPR,17,-0.2147,0.408,-0.1607,0.5377,0.2147
high_st_states,Literacy gap,MGNREG unmet demand,18,0.2137,0.3946,0.1283,0.6119,0.2137
high_st_states,Primary dropout,Unemployment,18,-0.2099,0.4031,-0.1465,0.5619,0.2099
high_st_states,GER classes IX-XII,Female unemployment,17,0.2092,0.4203,0.1226,0.6392,0.2092
high_st_states,Upper-primary female enrolment share,Female unemployment,18,0.2068,0.4102,0.4328,0.0728,0.2068
high_st_states,Female literacy gap,LFPR,18,0.2004,0.4254,0.2211,0.378,0.2004
high_st_states,Upper-primary dropout,Female unemployment,18,-0.1954,0.4371,-0.283,0.2552,0.1954
high_st_states,Primary female enrolment share,LFPR,18,-0.1918,0.4459,-0.0537,0.8323,0.1918
high_st_states,GER classes I-VIII,LFPR,17,-0.1916,0.4614,-0.1252,0.6322,0.1916
high_st_states,Upper-primary female enrolment share,MGNREG average days worked,19,0.1891,0.4382,0.2827,0.2409,0.1891
high_st_states,GER classes IX-XII,WPR,17,-0.1843,0.4789,0.0245,0.9255,0.1843
high_st_states,Upper-primary female enrolment share,LFPR,18,-0.1841,0.4646,-0.2696,0.2792,0.1841
high_st_states,Primary dropout,WPR,18,-0.1734,0.4915,-0.1313,0.6036,0.1734
high_st_states,Primary dropout,Female unemployment,18,-0.1696,0.501,0.1164,0.6456,0.1696
high_st_states,GER classes IX-XII,LFPR,17,-0.1689,0.5171,-0.0012,0.9963,0.1689
high_st_states,GER classes IX-XII,Unemployment,17,0.1679,0.5196,0.0879,0.7373,0.1679
high_st_states,GER classes IX-XII,Female WPR,17,-0.1653,0.526,0.0276,0.9162,0.1653
high_st_states,GER classes I-VIII,Female WPR,17,-0.1627,0.5326,-0.1042,0.6906,0.1627
high_st_states,Primary dropout,Female LFPR,18,-0.153,0.5444,-0.1603,0.5252,0.153
high_st_states,GER classes IX-XII,Female LFPR,17,-0.1469,0.5737,0.043,0.8699,0.1469
high_st_states,ST literacy rate,MGNREG job-card households,18,0.1448,0.5664,0.1508,0.5502,0.1448
high_st_states,GER classes I-VIII,Unemployment,17,-0.1431,0.5838,0.0491,0.8514,0.1431
high_st_states,GER classes I-VIII,WPR,17,-0.1373,0.5992,-0.0601,0.8188,0.1373
high_st_states,Upper-primary dropout,WPR,18,0.1296,0.6083,0.0795,0.7537,0.1296
high_st_states,Female literacy gap,MGNREG job-card households,19,-0.1283,0.6005,-0.1982,0.4159,0.1283
high_st_states,Primary dropout,Female WPR,18,-0.1273,0.6146,-0.1261,0.6181,0.1273
high_st_states,GER classes IX-XII,MGNREG unmet demand,18,-0.1238,0.6245,-0.2086,0.4062,0.1238
high_st_states,ST literacy rate,Urban ST BPL,9,-0.1111,0.7759,-0.1506,0.6989,0.1111
high_st_states,Female ST literacy,MGNREG job-card households,19,0.0976,0.691,0.1421,0.5617,0.0976
high_st_states,Literacy gap,MGNREG job-card households,18,-0.0927,0.7144,-0.0476,0.8512,0.0927
high_st_states,Female literacy gap,Urban ST BPL,9,0.0892,0.8195,0.1667,0.6682,0.0892
high_st_states,Primary female enrolment share,Female unemployment,18,0.0875,0.73,0.0695,0.7839,0.0875
high_st_states,Female ST literacy,Urban ST BPL,9,-0.0846,0.8286,0.0,1.0,0.0846
high_st_states,Upper-primary female enrolment share,MGNREG unmet demand,19,-0.0841,0.7322,0.0316,0.8979,0.0841
high_st_states,ST literacy rate,Mean ST BPL,9,-0.0652,0.8676,-0.1172,0.764,0.0652
high_st_states,GER classes I-VIII,MGNREG unmet demand,18,-0.0634,0.8025,-0.001,0.9968,0.0634
high_st_states,Upper-primary dropout,LFPR,18,0.0617,0.808,0.0413,0.8706,0.0617
high_st_states,Upper-primary dropout,Female WPR,18,0.0615,0.8085,0.0682,0.7881,0.0615
high_st_states,Secondary dropout,MGNREG job-card households,19,-0.0571,0.8165,-0.0544,0.825,0.0571
high_st_states,Female literacy gap,Mean ST BPL,9,0.0504,0.8975,0.1,0.798,0.0504
high_st_states,Primary female enrolment share,MGNREG average days worked,19,-0.0488,0.8426,0.0281,0.9091,0.0488
high_st_states,Upper-primary dropout,Female LFPR,18,0.0407,0.8725,0.0641,0.8006,0.0407
high_st_states,Female ST literacy,Mean ST BPL,9,-0.0382,0.9222,0.0333,0.9322,0.0382
high_st_states,Upper-primary female enrolment share,MGNREG job-card households,19,-0.038,0.8772,0.1439,0.5568,0.038
high_st_states,GER classes I-VIII,MGNREG job-card households,18,0.034,0.8934,0.0795,0.754,0.034
high_st_states,Upper-primary dropout,MGNREG average days worked,19,0.0305,0.9012,0.0413,0.8666,0.0305
high_st_states,ST literacy rate,Rural ST BPL,9,-0.0268,0.9454,-0.1004,0.7971,0.0268
high_st_states,Female literacy gap,Rural ST BPL,9,0.0182,0.9629,0.0833,0.8312,0.0182
high_st_states,Primary dropout,MGNREG unmet demand,19,0.0168,0.9455,0.2189,0.3679,0.0168
high_st_states,Female ST literacy,Rural ST BPL,9,-0.0014,0.9971,0.0,1.0,0.0014
